Metabolite,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3
630,0,67628.414,298141.1,184742.72,490240.78,897.58673,2480.4849,117206.664,53028.684,39111.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,3802.3445,62912.613,104291.2,379146.62,2344923.5,2044349.1,461110.44,249203.4,204266.95,43376.05,0,9800.734,5394.806,40790.688,40839.812,83281.01,1313.0449,4360.4453,4032.4065,1191906.1,5396.9097,13453.78,914.49115,904256,526730.6,1987.1968,4458.098
213,65236.02,1019.308,2342.079,1996.6982,9854.575,5618.1724,9770.918,4985.98,4151.122,1877.189,41836.555,49439.406,40983.4,178817.2,262383.22,108970.805,39132.25,46591.62,28910.227,8246.129,1797.495,19463.965,10742.663,22410.572,16793.422,5560.255,884.729
573,30781.89,619849.94,1099558.8,977171.7,69016.86,905.1349,11523.254,731487.44,587621.6,941321.2,28623.139,36166.92,38470.152,1563.4094,0,0,20923.562,7863.1836,136152.02,143528.75,97710.52,43469.58,153718.58,104353.44,89180.62,56077.184,64763.2
159,65743.59,27522.086,40059.473,42207.137,59681.715,42533.418,69537.62,46895.727,39342.625,27960.379,58967.54,41238.457,51480.31,94642.734,71566.555,65526.54,85946.13,56076.34,61427.367,227388.03,149125.14,46685.95,48955.746,272039.94,259859.02,131824.89,99788.68
373,4705799,322252.3,441815.72,513349.66,1896.052,1126.7966,0,313866.28,315799.25,171313.3,1612459.1,595030.3,1153502.6,2159.6455,2601.2202,3940.366,2368902.2,3395514.5,427045.12,0,225116.84,392347.03,436531.9,0,0,380652.03,192806.4
350,117304.92,567849.4,317359.4,473637.22,24425.234,11352.024,13834.93,713206.5,683098.9,410616.12,174937.55,28167.664,81348.664,32400.27,2290.2915,752.0273,66522.93,54642.6,13967.733,0,8912.319,1876.3492,4860.5664,528.00037,0,7266.029,7144.681
560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575498.56,0,162991.48,1053638.4,129770.02,0,0,925306.6,319660.72
763,0,131855.83,125222.12,163494.28,272973.78,103997.49,346378.53,103284.27,88902.07,109107.734,0,0,0,113825.73,45734.125,17737.453,0,0,0,712704.8,3486.5308,5999.849,1685.6394,515929.88,507021,1602.4646,3187.0337
780,0,0,0,0,9293.392,0,22242.773,0,2645.1104,0,763.483,0,0,816.84045,0,0,910.05164,0,35714.31,533850.94,16449.791,24313.402,37517.68,512526.53,597113.25,16106.45,18465.139
152,10461.4,2060.7188,18386.094,6906.747,607250.44,154312.02,240055.98,10585.561,20251.01,5391.6455,0,0,13035.416,21634.041,40770.457,33489.684,4512.932,6949.394,1801.3351,86694.734,1300.4067,1115.814,0,449832.47,286650.47,0,0
139,3914.6023,3367.5322,1222.9038,0,65459.2,43919.637,74598.695,0,0,0,53729.496,13334.254,16617.156,222498.16,286581.2,252033.89,5485.338,5327.277,0,113776.08,821.2604,0,778.9333,120932,87106.55,0,0
591,0,0,0,0,870924.7,199532.44,735261.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,387428.06,71558,216677.8,56052.723,494410.38,98336.79,524489.44,743618.9,545917.5,614736.5,110065.07,133528.61,80129.3,519071.72,1140439.2,1320652.2,261343.17,383795.16,849748.94,248628.94,304970.1,1040406.2,1072041.9,332460.72,411590.75,437650.4,324922.1
347,496553.06,565.94745,7754.9863,4887.1143,654446.75,351839.25,527114.94,13678.547,12090.799,9495.704,372122.03,444151.1,458430.25,240708.25,261717.44,250985.62,581287,419124.3,0,0,0,0,0,0,0,0,0
351,0,234667.06,365407.03,207842.17,1258613.8,889481.4,1306547.9,320785.3,336065.12,278695.66,0,0,0,0,0,403.85284,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,704289.25,766388.1,713558.2,0,0,0,395.9696,0,0,206473.14,173425.55,233852.77,0,0,0,356754.78,0,0,0,482433.34,545625.1,548.56213,0
458,0,0,0,0,16869.521,11501.327,23249.307,0,0,0,0,0,0,0,0,0,0,0,0,300996.12,0,0,0,705988.9,513209.75,0,0
